Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Challenge/Removal,Ban Status,Initiating Action
Ready or Not,"Cabot, Meg",,,,All-American Girl,Iowa,Northwood Kensett Community School District,October 2023,Banned,Administration
Ready or Not,"Cabot, Meg",,,,All-American Girl,Iowa,Urbandale Community School District,October 2023,Banned pending investigation,Administration
Ready or Not,"Cabot, Meg",,,,All-American Girl,Iowa,West Burlington Independent School District,June 2024,Banned,Administration
Ready or Not,"Cabot, Meg",,,,All-American Girl,Iowa,West Marshall Community School District,June 2024,Banned,Administration
Size 12 Is Not Fat,"Cabot, Meg",,,,A Heather Wells Mystery,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Teen Idol,"Cabot, Meg",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Princess Diaries,"Cabot, Meg",,,,The Princess Diaries,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Princess Diaries,"Cabot, Meg",,,,The Princess Diaries,Florida,Union County School District,August 2023,Banned pending investigation,Administration
The Princess Present: A Princess Diaries Book,"Cabot, Meg",,,,The Princess Diaries,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Victoria and the Rogue,"Cabot, Meg",,,,,Texas,Fort Worth Independent School District,August 2023,Banned pending investigation,Administration
The Boy Next Door,"Cabot, Meggin",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Piper Perish,"Cagan, Kayla",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Swim the Fly,"Calame, Don",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Rule of Four,"Caldwell, Ian",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
A Phoenix First Must Burn,"Caldwell, Patrice",,,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
100 Women Who Made History: Remarkable Women Who Shaped Our World,"Caldwell, S. A.",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
A Heart in a Body in the World,"Caletti, Deb",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
A Heart in a Body in the World,"Caletti, Deb",,,,,Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
A Heart in a Body in the World,"Caletti, Deb",,,,,Iowa,Sioux Center Community School District,June 2024,Banned,Administration
"Girl, Unframed","Caletti, Deb",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"Girl, Unframed","Caletti, Deb",,,,,Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
"Girl, Unframed","Caletti, Deb",,,,,Texas,North East Independent School District,June 2024,Banned,Administration
"Honey, Baby, Sweetheart","Caletti, Deb",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
One Great Lie,"Caletti, Deb",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Stay,"Caletti, Deb",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Epic Story of Every Living Thing,"Caletti, Deb",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Fortunes of Indigo Skye,"Caletti, Deb",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Last Forever,"Caletti, Deb",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Nature of Jade,"Caletti, Deb",,,,,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Queen of Everything,"Caletti, Deb",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Secret Life of Prince Charming,"Caletti, Deb",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Six Rules of Maybe,"Caletti, Deb",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Story of Us,"Caletti, Deb",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Felix Ever After,"Callender, Kacen",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Felix Ever After,"Callender, Kacen",,,,,Florida,Hernando County Schools,October 2023,Banned,Formal Challenge
Felix Ever After,"Callender, Kacen",,,,,Georgia,Cobb County School District,August 2023,Banned pending investigation,Administration
Felix Ever After,"Callender, Kacen",,,,,Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Felix Ever After,"Callender, Kacen",,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration
Felix Ever After,"Callender, Kacen",,,,,Missouri,Cameron R-1 School District,February 2024,Banned by restriction,Administration
Felix Ever After,"Callender, Kacen",,,,,North Carolina,Burke County Public Schools,August 2023,Banned,Administration
Felix Ever After,"Callender, Kacen",,,,,Texas,Conroe Independent School District,November 2023,Banned,Informal Challenge
Felix Ever After,"Callender, Kacen",,,,,Virginia,Hanover County Public Schools,August 2023,Banned,Administration
Hurricane Child,"Callender, Kacen",,,,,Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Hurricane Child,"Callender, Kacen",,,,,Iowa,Dallas Center-Grimes Community School District,June 2024,Banned pending investigation,Administration
Hurricane Child,"Callender, Kacen",,,,,Kentucky,Boyle County Schools,October 2023,Banned,Administration
King and the Dragonflies,"Callender, Kacen",,,,,Florida,St. John's County School District,July 2023,Banned by restriction,Administration
King and the Dragonflies,"Callender, Kacen",,,,,Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
King and the Dragonflies,"Callender, Kacen",,,,,Iowa,Dallas Center-Grimes Community School District,June 2024,Banned pending investigation,Administration
King and the Dragonflies,"Callender, Kacen",,,,,Kentucky,Boyle County Schools,October 2023,Banned,Administration
Lark and Kasim Start a Revolution,"Callender, Kacen",,,,,Georgia,Cobb County School District,August 2023,Banned pending investigation,Administration
This Is Kind of an Epic Love Story,"Callender, Kacen",,,,,Florida,Escambia County Public Schools,February 2024,Banned pending investigation,Formal Challenge
This Is Kind of an Epic Love Story,"Callender, Kacen",,,,,Florida,Polk County Public Schools,June 2024,Banned pending investigation,Formal Challenge
This Is Kind of an Epic Love Story,"Callender, Kacen",,,,,Florida,School District of Manatee County,June 2024,Banned pending investigation,Formal Challenge
This Is Kind of an Epic Love Story,"Callender, Kacen",,,,,Florida,Volusia County Schools,October 2023,Banned,Formal Challenge
This Is Kind of an Epic Love Story,"Callender, Kacen",,,,,Iowa,Ankeny Community School District,June 2024,Banned pending investigation,Administration
This Is Kind of an Epic Love Story,"Callender, Kacen",,,,,Iowa,Cedar Falls Community School District,June 2024,Banned pending investigation,Administration
This Is Kind of an Epic Love Story,"Callender, Kacen",,,,,Oregon,Helix School District,November 2023,Banned,Formal Challenge
This Is Kind of an Epic Love Story,"Callender, Kacen",,,,,Texas,Conroe Independent School District,January 2024,Banned,Informal Challenge
This Is Kind of an Epic Love Story,"Callender, Kacen",,,,,Texas,Fort Worth Independent School District,August 2023,Banned pending investigation,Administration
This Is Kind of an Epic Love Story,"Callender, Kacen",,,,,Utah,Granite School District,November 2023,Banned pending investigation,Formal Challenge
Someday This Pain Will Be Useful to You,"Cameron, Peter",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Forgetting,"Cameron, Sharon",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Knowing,"Cameron, Sharon",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
It's Always the Husband,"Campbell, Michele",,,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
The Stranger: The Graphic Novel,"Camus, Albert",,"Ferrandez, Jacques","Smith, Sandra",,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Echo After Echo,"Capetta, A. R.",,,,,Florida,Collier County Public Schools,September 2023,Banned by restriction,Formal Challenge
Once and Future,"Capetta, A. R.","McCarthy, Cori",,,,Florida,Clay County School District,March 2024,Banned,Formal Challenge
Once and Future,"Capetta, A. R.","McCarthy, Cori",,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Formal Challenge
The Brilliant Death,"Capetta, A. R.",,,,The Brilliant Death,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Foul is Fair,"Capin, Hannah",,,,,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Foul is Fair,"Capin, Hannah",,,,,Florida,School District of Manatee County,November 2023,Banned by restriction,Unclear
Foul is Fair,"Capin, Hannah",,,,,Texas,Plano Independent School District,October 2023,Banned,Formal Challenge
I Am Margaret Moore,"Capin, Hannah",,,,,Texas,Conroe Independent School District,November 2023,Banned,Informal Challenge
El Gigante Solitario,"Cappellini, Mary",,,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Gears of War,"Capps, Michael","Ortega, Joshua","Sharp, Liam",,Gears of War,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"10,000 Days of Thunder: A History of the Vietnam War","Caputo, Phillip",,,,,Iowa,Adel DeSoto Minburn Community School District,June 2024,Banned,Administration
Ender's Game,"Card, Orson Scott",,,,The Ender Saga,Florida,Collier County Public Schools,October 2023,Banned,Administration
Ender's Game,"Card, Orson Scott",,,,The Ender Saga,Florida,St. John's County School District,July 2023,Banned by restriction,Administration
Ender's Game,"Card, Orson Scott",,,,The Ender Saga,Iowa,Southeast Warren Community School District,June 2024,Banned,Administration
Ender's Shadow,"Card, Orson Scott",,,,Shadow Saga,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Pastwatch: The Redemption of Christopher Columbus,"Card, Orson Scott",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Shadow of the Hegemon,"Card, Orson Scott",,,,Shadow Saga,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Speaker for the Dead,"Card, Orson Scott",,,,Ender Sextet,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Treasure Box,"Card, Orson Scott",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Xenocide,"Card, Orson Scott",,,,Ender Sextet,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Dragon's Keep,"Carey, Janet Lee",,,,,Texas,North East Independent School District,June 2024,Banned,Administration
Draw Me a Star,"Carle, Eric",,,,,Florida,Hernando County Schools,October 2023,Banned,Administration
Draw Me a Star,"Carle, Eric",,,,,Iowa,Mid-Prairie Community School District,June 2024,Banned,Administration
Draw Me a Star,"Carle, Eric",,,,,Iowa,Spencer Community School District,June 2024,Banned pending investigation,Administration
Draw Me a Star,"Carle, Eric",,,,,Texas,Katy Independent School District,August 2023,Banned,Administration
The Tyrant's Daughter,"Carleson, J. C.",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
In the Neighborhood of True,"Carlton, Susan Kaplan",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Roar,"Carmack, Cora",,,,Stormheart,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Roar,"Carmack, Cora",,,,Stormheart,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Quake,"Carman, Patrick",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Tremor,"Carman, Patrick",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Infinite in Between,Carolyn Mackler,,,,,Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
Rural Voices: 15 Authors Challenge Assumptions About Small-Town America,"Carpenter, Nora Shalaway","Bowles, David; Bruchac, Joseph; Bybee, Veeda; Cosby, Shawn; Costello, Rob; DuBurke, Randy; Edwards, Shanna; Gill, David Macinnis; Hopson, Rainey Nasugraq; Laure, Estelle; Mendez, Yamile Saied; Perez, Ashley Hope; Price, Tirzah",,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Rural Voices: 15 Authors Challenge Assumptions About Small-Town America,"Carpenter, Nora Shalaway","Bowles, David; Bruchac, Joseph; Bybee, Veeda; Cosby, Shawn; Costello, Rob; DuBurke, Randy; Edwards, Shanna; Gill, David Macinnis; Hopson, Rainey Nasugraq; Laure, Estelle; Mendez, Yamile Saied; Perez, Ashley Hope; Price, Tirzah",,,,Georgia,Cobb County School District,August 2023,Banned pending investigation,Administration
Changeless,"Carriger, Gail",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Soulless,"Carriger, Gail",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Feminism Book,"Carroll, Georgie",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Mythology Book,"Carroll, Georgie",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
How Beautiful the Ordinary: Twelve Stories of Identity,"Cart, Michael",,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge
How Beautiful the Ordinary: Twelve Stories of Identity,"Cart, Michael",,,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
How Beautiful the Ordinary: Twelve Stories of Identity,"Cart, Michael",,,,,Missouri,Cameron R-1 School District,February 2024,Banned by restriction,Administration
How Beautiful the Ordinary: Twelve Stories of Identity,"Cart, Michael",,,,,Texas,Plano Independent School District,October 2023,Banned,Formal Challenge
Goddess Interrupted,"Carter, Aimée",,,,Goddess Test,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Queen,"Carter, Aimée",,,,The Blackcoat Rebellion,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Goddess Inheritance,"Carter, Aimée",,,,Goddess Test,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Goddess Legacy: An Original Goddess Test Collection,"Carter, Aimée",,,,Goddess Test,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Goddess Test,"Carter, Aimée",,,,Goddess Test,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"I’d Tell You I Love You, But Then I’d Have Kill You","Carter, Ally",,,,Gallagher Girls,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
The Bloody Chamber and Other Stories,"Carter, Angela",,,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
"Me, Him, Them and It","Carter, Caela",,,,,Florida,Clay County School District,August 2023,Banned,Formal Challenge
The Education of Little Tree,"Carter, Forrest",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
I Stop Somewhere,"Carter, TE",,,,,Florida,Clay County School District,April 2024,Banned pending investigation,Formal Challenge
Bloodline: A Novel,"Cary, Kate",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Bitterblue,"Cashore, Kristin",,"Schoenherr, Ian",,Graceling Realm,Florida,Clay County School District,October 2023,Banned by restriction,Formal Challenge
Bitterblue,"Cashore, Kristin",,"Schoenherr, Ian",,Graceling Realm,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Bitterblue,"Cashore, Kristin",,"Schoenherr, Ian",,Graceling Realm,Iowa,Sioux Center Community School District,June 2024,Banned,Administration
Bitterblue,"Cashore, Kristin",,"Schoenherr, Ian",,Graceling Realm,Iowa,Winterset Community School District,October 2023,Banned,Administration
Fire,"Cashore, Kristin",,,,Graceling Realm,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Fire,"Cashore, Kristin",,,,Graceling Realm,Iowa,Sioux Center Community School District,June 2024,Banned,Administration
Fire,"Cashore, Kristin",,,,Graceling Realm,Iowa,West Burlington Independent School District,June 2024,Banned,Administration
Fire,"Cashore, Kristin",,,,Graceling Realm,Iowa,Winterset Community School District,October 2023,Banned,Administration
Graceling,"Cashore, Kristin",,,,Graceling Realm,Florida,Charlotte County Public Schools,August 2023,Banned,Administration
Graceling,"Cashore, Kristin",,,,Graceling Realm,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Graceling,"Cashore, Kristin",,,,Graceling Realm,Florida,Okaloosa County School District,August 2023,Banned pending investigation,Administration
Graceling,"Cashore, Kristin",,,,Graceling Realm,Florida,Seminole County Public Schools,April 2024,Banned,Administration
Graceling,"Cashore, Kristin",,,,Graceling Realm,Iowa,Sioux Center Community School District,June 2024,Banned,Administration
Graceling,"Cashore, Kristin",,,,Graceling Realm,Iowa,West Burlington Independent School District,June 2024,Banned,Administration
Graceling,"Cashore, Kristin",,,,Graceling Realm,Iowa,Winterset Community School District,October 2023,Banned,Administration
Graceling,"Cashore, Kristin",,,,Graceling Realm,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
Graceling: The Graphic Novel,"Cashore, Kristin",,"Hinds, Gareth",,,Florida,Collier County Public Schools,June 2024,Banned by restriction,Administration
"Jane, Unlimited","Cashore, Kristin",,,,,Florida,Clay County School District,August 2023,Banned pending investigation,Formal Challenge
"Jane, Unlimited","Cashore, Kristin",,,,,Florida,Collier County Public Schools,August 2023,Banned,Formal Challenge
"Jane, Unlimited","Cashore, Kristin",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Winterkeep,"Cashore, Kristin",,,,Graceling Realm,Florida,Clay County School District,October 2023,Banned,Formal Challenge
Winterkeep,"Cashore, Kristin",,,,Graceling Realm,Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
Winterkeep,"Cashore, Kristin",,,,Graceling Realm,Iowa,Sioux Center Community School District,June 2024,Banned,Administration
Happily Ever After (KC),"Cass, Kiera",,,,The Selection,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Betrayed,"Cass, Kiera",,,,The Betrothed,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Betrothed,"Cass, Kiera",,,,The Betrothed,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Crown,"Cass, Kiera",,,,The Selection,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Elite,"Cass, Kiera",,,,The Selection,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Heir,"Cass, Kiera",,,,The Selection,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The One,"Cass, Kiera",,,,The Selection,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Selection,"Cass, Kiera",,,,The Selection,Florida,Escambia County Public Schools,October 2023,Banned by restriction,Administration
The Selection Stories: The Prince and The Guard,"Cass, Kiera",,,,The Selection,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
The Siren,"Cass, Kiera",,,,,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Looking for JJ,"Cassidy, Anne",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Kisses From Hell,"Cast, Kristin","Mead, Richelle; Noel, Alyson; Armstrong, Kelley; Block, Francesca Lia",,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Awakened,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Collier County Public Schools,October 2023,Banned,Administration
Awakened,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Awakened,"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Chariton Community School District,June 2024,Banned pending investigation,Administration
Betrayed,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Betrayed,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Indian River County Schools,August 2023,Banned,Formal Challenge
Betrayed,"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Chariton Community School District,June 2024,Banned pending investigation,Administration
Betrayed,"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,West Burlington Independent School District,June 2024,Banned,Administration
Burned (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Collier County Public Schools,October 2023,Banned,Administration
Burned (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Burned (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Alta-Aurelia Community Schools,October 2023,Banned pending investigation,Administration
Burned (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Chariton Community School District,June 2024,Banned pending investigation,Administration
Burned (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
Chosen,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Collier County Public Schools,October 2023,Banned,Administration
Chosen,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Chosen,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Hernando County Schools,March 2024,Banned,Formal Challenge
Chosen,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Martin County Schools,April 2024,Banned,Formal Challenge
Chosen,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Chosen,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,School District of Manatee County,December 2023,Banned by restriction,Formal Challenge
Chosen,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Seminole County Public Schools,April 2024,Banned,Administration
Chosen,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Volusia County Schools,October 2023,Banned,Formal Challenge
Chosen,"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Chariton Community School District,June 2024,Banned pending investigation,Administration
Chosen,"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Clear Lake Community School District,June 2024,Banned,Administration
Chosen,"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,West Burlington Independent School District,June 2024,Banned,Administration
Chosen,"Cast, P. C.","Cast, Kristin",,,House of Night,Texas,North East Independent School District,June 2024,Banned,Administration
Chosen,"Cast, P. C.","Cast, Kristin",,,House of Night,Virginia,Spotsylvania County Public Schools,October 2023,Banned,Formal Challenge
Destined,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Collier County Public Schools,October 2023,Banned,Administration
Destined,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Destined,"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Chariton Community School District,June 2024,Banned pending investigation,Administration
Hidden,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Hidden,"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Chariton Community School District,June 2024,Banned pending investigation,Administration
"House of Night (Series, Title not Specified)","Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Highland Community School District,October 2023,Banned,Administration
House of Night: The Beginning - Marked and Betrayed,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
House of Night: The Beginning - Marked and Betrayed,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Indian River County Schools,January 2024,Banned,Formal Challenge
House of Night: The Beginning - Marked and Betrayed,"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Chariton Community School District,June 2024,Banned pending investigation,Administration
Hunted,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Collier County Public Schools,October 2023,Banned,Administration
Hunted,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Hunted,"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Chariton Community School District,June 2024,Banned pending investigation,Administration
Hunted,"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,West Burlington Independent School District,June 2024,Banned,Administration
Kalona's Fall,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Kalona's Fall,"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Chariton Community School District,June 2024,Banned pending investigation,Administration
Marked,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Collier County Public Schools,October 2023,Banned,Administration
Marked,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Marked,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Marked,"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Chariton Community School District,June 2024,Banned pending investigation,Administration
Marked,"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,West Burlington Independent School District,June 2024,Banned,Administration
Marked,"Cast, P. C.","Cast, Kristin",,,House of Night,Texas,Conroe Independent School District,November 2023,Banned,Administration
Moon Chosen,"Cast, P. C.",,,,Tales of a New World,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Moon Chosen,"Cast, P. C.",,,,Tales of a New World,Texas,North East Independent School District,June 2024,Banned,Administration
Neferet's Curse,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Neferet's Curse,"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Chariton Community School District,June 2024,Banned pending investigation,Administration
Redeemed,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Redeemed,"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Chariton Community School District,June 2024,Banned pending investigation,Administration
Revealed (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Clay County School District,February 2024,Banned,Formal Challenge
Revealed (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Collier County Public Schools,October 2023,Banned,Administration
Revealed (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Revealed (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Chariton Community School District,June 2024,Banned pending investigation,Administration
Sun Warrior: Tales of a New World,"Cast, P. C.",,,,Tales of a New World,Texas,North East Independent School District,June 2024,Banned,Administration
Tempted (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Collier County Public Schools,October 2023,Banned,Administration
Tempted (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Tempted (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Chariton Community School District,June 2024,Banned pending investigation,Administration
Tempted (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,West Burlington Independent School District,June 2024,Banned,Administration
Untamed (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Collier County Public Schools,October 2023,Banned,Administration
Untamed (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Untamed (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Indian River County Schools,January 2024,Banned,Formal Challenge
Untamed (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Alta-Aurelia Community Schools,October 2023,Banned pending investigation,Administration
Untamed (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,Chariton Community School District,June 2024,Banned pending investigation,Administration
Untamed (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Iowa,West Burlington Independent School District,June 2024,Banned,Administration
Dragon's Oath,"Cast, P.C.","Cast, Kristin",,,House of Night,Florida,Collier County Public Schools,October 2023,Banned,Administration
Dragon's Oath,"Cast, P.C.","Cast, Kristin",,,House of Night,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Dragon's Oath,"Cast, P.C.","Cast, Kristin",,,House of Night,Iowa,Chariton Community School District,June 2024,Banned pending investigation,Administration
